time,hash-rate
2016-01-16,826381.991
2016-01-19,822925.0518
2016-01-22,809006.7387
2016-01-25,896749.7581
2016-01-28,928737.431
2016-01-31,965900.4615
2016-02-03,995618.1718
2016-02-06,1052729.831
2016-02-09,1113096.366
2016-02-12,1209706.714
2016-02-15,1210727.404
2016-02-18,1147274.235
2016-02-21,1160506.345
2016-02-24,1126289.285
2016-02-27,1122716.597
2016-03-01,1123877.627
2016-03-04,1141293.087
2016-03-07,1159514.559
2016-03-10,1182661.475
2016-03-13,1194819.639
2016-03-16,1201570.033
2016-03-19,1156745.272
2016-03-22,1160553.648
2016-03-25,1176445.598
2016-03-28,1201126.275
2016-03-31,1254013.44
2016-04-03,1220341.058
2016-04-06,1218889.999
2016-04-09,1246504.838
2016-04-12,1277311.992
2016-04-15,1319607.317
2016-04-18,1313989.786
2016-04-21,1339935.296
2016-04-24,1320902.125
2016-04-27,1285373.537
2016-04-30,1239654.152
2016-05-03,1309380.489
2016-05-06,1384198.438
2016-05-09,1404498.323
2016-05-12,1404003.342
2016-05-15,1410311.676
2016-05-18,1364319.777
2016-05-21,1364319.777
2016-05-24,1477438.302
2016-05-27,1502286.331
2016-05-30,1441462.063
2016-06-02,1375776.662
2016-06-05,1361622.581
2016-06-08,1452208.698
2016-06-11,1482798.328
2016-06-14,1476356.503
2016-06-17,1452193.671
2016-06-20,1506494.297
2016-06-23,1524578.422
2016-06-26,1536803.643
2016-06-29,1499324.11
2016-07-02,1579645.045
2016-07-05,1574951.627
2016-07-08,1554081.053
2016-07-11,1551816.136
2016-07-14,1521507.227
2016-07-17,1524538.118
2016-07-20,1500475.064
2016-07-23,1508326.076
2016-07-26,1408466.163
2016-07-29,1382692.293
2016-08-01,1434240.032
2016-08-04,1539535.451
2016-08-07,1629641.011
2016-08-10,1547003.294
2016-08-13,1491087.512
2016-08-16,1521477.131
2016-08-19,1546812.846
2016-08-22,1593082.752
2016-08-25,1676441.733
2016-08-28,1586908.012
2016-08-31,1589814.836
2016-09-03,1621724.989
2016-09-06,1628830.76
2016-09-09,1614721.542
2016-09-12,1620992.306
2016-09-15,1727836.82
2016-09-18,1767828.811
2016-09-21,1674309.477
2016-09-24,1663083.264
2016-09-27,1804386.934
2016-09-30,1854675.199
2016-10-03,1803859.576
2016-10-06,1815851.045
2016-10-09,1891426.406
2016-10-12,1897250.873
2016-10-15,1839562.571
2016-10-18,1734916.796
2016-10-21,1740424.469
2016-10-24,1820178.174
2016-10-27,1833053.461
2016-10-30,1851491.358
2016-11-02,1912727.453
2016-11-05,1826276.495
2016-11-08,1800654.255
2016-11-11,1895952.179
2016-11-14,1996227.276
2016-11-17,2064937.998
2016-11-20,2030505.841
2016-11-23,1985338.105
2016-11-26,2017209.539
2016-11-29,2119270.736
2016-12-02,2107263.536
2016-12-05,2151639.916
2016-12-08,2208481.845
2016-12-11,2136244.081
2016-12-14,2282869.032
2016-12-17,2187573.245
2016-12-20,2182935.161
2016-12-23,2262016.179
2016-12-26,2343510.433
2016-12-29,2380918.585
2017-01-01,2420681.793
2017-01-04,2479403.038
2017-01-07,2443306.179
2017-01-10,2393672.997
2017-01-13,2523147.513
2017-01-16,2641887.48
2017-01-19,2729823.999
2017-01-22,2844663.221
2017-01-25,2952040.673
2017-01-28,3053427.684
2017-01-31,3044561.702
2017-02-03,3150605.097
2017-02-06,3113197.005
2017-02-09,3030498.458
2017-02-12,3108957.511
2017-02-15,3222882.666
2017-02-18,3159924.028
2017-02-21,3190296.409
2017-02-24,3147790.987
2017-02-27,3399379.791
2017-03-02,3449462.735
2017-03-05,3361582.214
2017-03-08,3321030.015
2017-03-11,3344125.478
2017-03-14,3429201.077
2017-03-17,3455378.185
2017-03-20,3561598.223
2017-03-23,3595072.83
2017-03-26,3587653.559
2017-03-29,3618057.403
2017-04-01,3506716.603
2017-04-04,3704147.33
2017-04-07,3672333.296
2017-04-10,3789422.184
2017-04-13,3768133.296
